Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
14/11/2020;07:48:44.740;4.7;100;0.96;11;4.11;12.34;0.8;0.0;32;0.0;231.00;0.12;0.10;2031;3818;0;22.3;0.5;47.767828;-3.506410;14;-1024;3;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:45.740;4.7;100;0.98;15;4.11;12.34;0.8;0.0;32;0.0;249.50;0.14;0.19;2031;3819;0;22.3;0.4;47.767828;-3.506411;14;-437;3;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:46.740;4.7;100;1.02;15;4.11;12.34;0.8;0.0;32;0.0;248.50;0.02;0.20;2031;3819;0;22.1;0.2;47.767828;-3.506413;14;117;3;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:47.740;4.7;100;0.97;15;4.11;12.34;0.8;0.0;32;0.0;247.10;0.01;0.19;2031;3819;0;22.1;0.3;47.767828;-3.506413;15;134;3;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:48.740;4.7;100;0.97;15;4.11;12.34;0.8;0.1;32;0.0;249.50;0.21;0.23;2031;3819;0;22.1;0.1;47.767828;-3.506415;15;134;3;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:49.740;4.7;100;0.99;15;4.11;12.33;0.8;0.0;33;0.0;238.90;0.08;0.12;2031;3820;0;22.2;0.6;47.767826;-3.506415;14;134;3;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:50.740;4.7;100;1.00;15;4.11;12.33;0.9;0.0;33;0.1;234.20;0.00;0.09;2031;3820;0;22.2;0.2;47.767825;-3.506415;15;134;3;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:51.740;4.7;100;0.97;15;4.11;12.33;0.8;0.0;33;0.0;288.10;0.01;0.31;2837;3820;0;22.3;2.0;47.767828;-3.506416;15;134;3;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:52.740;4.7;100;0.91;15;4.11;12.34;0.8;0.0;33;-0.1;315.60;0.34;0.16;3478;3820;0;22.1;0.5;47.767830;-3.506413;15;393;4;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:53.740;4.7;100;2.43;15;4.08;12.24;2.3;1.1;34;0.3;336.00;3.09;0.54;1497;3820;0;21.8;5.7;47.767825;-3.506408;14;393;3;-350;174;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:54.740;4.7;100;1.09;15;3.75;11.25;18.2;3.3;38;2.8;196.40;0.69;-0.03;1918;3922;5;24.9;35.8;47.767730;-3.506428;14;391;3;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:55.760;4.7;96;1.27;15;3.72;11.16;17.8;6.6;43;4.7;199.50;0.64;-0.05;1944;3923;16;27.3;42.8;47.767650;-3.506458;14;393;3;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:56.760;4.7;94;0.96;15;3.70;11.12;17.4;11.3;47;6.0;197.30;0.51;-0.03;1960;3923;34;34.8;45.5;47.767563;-3.506501;14;391;3;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:57.760;4.7;90;0.85;15;3.69;11.07;17.1;18.8;51;5.6;199.40;0.51;-0.02;1964;3923;46;39.6;47.4;47.767451;-3.506540;14;391;3;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:58.760;4.7;86;0.89;15;3.68;11.05;16.4;23.9;58;5.6;198.90;0.49;0.00;1975;3923;58;45.6;48.3;47.767293;-3.506615;9;330;-231;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:48:59.760;4.7;84;0.79;15;3.80;11.41;9.5;24.3;60;-2.6;198.20;0.20;0.00;1982;3923;70;48.6;51.9;47.767198;-3.506661;-4;240;-102;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:49:00.760;4.7;82;1.09;15;3.81;11.43;9.4;22.5;63;-2.4;200.50;0.15;-0.04;2000;3923;91;46.4;57.5;47.767065;-3.506730;-283;241;-100;-350;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:49:01.760;4.7;82;0.88;15;3.81;11.45;9.3;20.8;65;-2.6;200.30;0.10;-0.01;2013;3923;106;42.9;64.5;47.766950;-3.506795;-179;241;-24;-353;176;-1;0;1;-1;0x0000000000000002;7.6
14/11/2020;07:49:02.760;4.7;78;0.96;15;3.81;11.44;9.2;17.2;69;-3.1;202.20;0.03;-0.01;2023;3923;123;40.5;67.9;47.766735;-3.506925;-88;240;-59;-353;176;-1;-1;1;-1;0x0000000000000002;7.6
14/11/2020;07:49:03.770;4.7;76;1.67;5;3.81;11.45;9.3;16.6;71;3.1;199.70;0.15;-0.05;2022;3923;140;38.1;71.2;47.766573;-3.507026;-195;238;-215;-353;176;-1;-1;1;-1;0x0000000000000002;7.6
14/11/2020;07:49:04.770;4.7;74;0.83;5;3.81;11.44;9.3;19.8;73;3.8;189.30;0.12;-0.03;1927;3923;158;40.6;65.9;47.766446;-3.507083;-64;240;-61;-350;176;-1;-1;1;-1;0x0000000000000002;7.6
14/11/2020;07:49:05.770;4.7;72;0.86;20005;3.81;11.42;9.4;22.3;76;2.1;180.60;0.15;-0.03;1791;3923;181;45.7;61.5;47.766291;-3.507103;-10;238;1;-353;176;0;-1;1;-1;0x0000000000000002;7.6
