Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);ASpd(kmh);Alt(m);Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
01/01/2021;22:00:37.310;4.7;100;0.99;11;4.11;12.35;1.0;0.0;36;-0.1;310.10;0.05;0.14;3506;3813;0;22.9;0.3;47.766968;-3.536510;9.4;0.0;-5;20;-1024;7;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:38.320;4.7;100;0.96;15;4.11;12.34;0.9;0.0;37;0.0;320.80;0.02;0.23;3506;3814;0;22.4;0.3;47.766966;-3.536511;6.1;0.0;-5;20;-1024;7;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:39.350;4.7;100;0.97;15;4.11;12.34;0.9;0.0;37;0.0;325.80;-0.02;0.18;3506;3814;0;22.3;0.1;47.766966;-3.536511;6.2;0.0;-5;19;-637;6;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:40.350;4.7;100;0.97;15;4.11;12.34;0.9;0.0;37;0.0;344.70;-0.07;0.10;3506;3814;0;22.1;1.4;47.766966;-3.536513;8.1;0.0;-2;19;10;7;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:41.350;4.7;100;1.11;15;4.11;12.34;1.0;0.0;38;0.0;346.00;0.03;0.09;3181;3814;0;21.1;2.0;47.766966;-3.536518;0.9;0.0;-4;20;7;6;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:42.350;4.7;100;0.87;15;4.11;12.34;1.0;0.0;38;0.1;355.40;0.02;-0.04;3240;3814;0;20.8;1.4;47.766966;-3.536520;8.3;0.0;-4;20;7;7;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:43.350;4.7;100;0.95;15;4.11;12.34;1.0;0.0;38;0.0;11.10;0.09;0.10;2772;3814;1;20.5;0.7;47.766970;-3.536525;4.6;0.0;-4;19;7;6;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:44.350;4.7;100;0.95;15;4.11;12.34;1.0;0.0;38;0.0;19.80;0.18;0.10;2772;3814;1;20.2;0.3;47.766973;-3.536525;7.5;0.0;-4;20;7;6;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:45.350;4.7;100;0.96;15;4.11;12.34;1.0;0.0;39;0.0;28.90;0.35;0.08;1590;3814;1;19.9;2.4;47.766971;-3.536523;6.1;0.0;-4;19;7;6;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:46.350;4.7;100;0.45;15;4.06;12.20;4.7;1.1;39;3.0;112.00;0.84;0.14;1262;3814;0;19.7;17.9;47.766958;-3.536506;9.4;0.0;-4;19;7;7;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:47.350;4.7;100;1.39;15;3.73;11.20;18.6;2.8;44;1.5;125.90;0.79;0.09;1156;3814;11;21.8;34.0;47.766918;-3.536400;27.5;0.0;-4;15;5;7;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:48.350;4.7;94;1.00;15;3.71;11.14;18.4;10.1;48;6.3;135.10;0.65;-0.07;1277;3814;22;25.7;43.8;47.766876;-3.536286;29.2;0.0;-5;20;-234;6;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:49.350;4.7;90;0.58;15;3.70;11.11;18.3;16.1;55;6.3;125.40;0.60;-0.04;1293;3814;34;30.3;46.8;47.766780;-3.536105;26.1;0.0;-4;20;-234;7;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:50.350;4.7;90;1.08;15;3.70;11.09;18.1;22.0;60;6.6;134.30;0.15;-0.03;1302;3814;46;36.0;49.4;47.766700;-3.535966;25.9;0.0;-4;115;-235;3;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:51.380;4.7;88;0.76;15;3.92;11.78;5.7;25.0;62;0.0;123.80;0.12;0.01;1294;3814;65;39.3;51.4;47.766633;-3.535850;27.5;0.0;-4;-456;-232;67;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:52.410;4.7;80;1.23;15;3.93;11.80;5.6;25.0;64;0.0;131.50;0.14;-0.06;1295;3713;79;38.0;56.8;47.766543;-3.535693;28.7;0.0;-5;-442;-232;57;1024;278;0;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:00:53.410;4.7;82;1.48;15;3.93;11.79;5.6;25.7;66;0.3;131.10;0.11;-0.04;1301;3713;94;37.6;59.3;47.766430;-3.535460;30.0;0.0;-4;-252;-232;384;1024;281;0;0;1;-1;0x0000000000000002;7.7
