Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);ASpd(kmh);Alt(m);Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
28/01/2021;17:41:11.000;4.7;100;0.96;11;4.10;12.30;0.8;0.0;65;0.0;172.80;0.05;0.06;1103;3608;0;23.2;0.2;47.767838;-3.506360;16.6;0.0;-5;17;-1024;6;595;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:12.020;4.7;100;1.04;15;4.10;12.30;0.8;0.0;65;0.0;219.60;0.15;0.18;1103;3608;0;22.2;0.9;47.767846;-3.506376;20.5;0.0;-5;17;-1024;6;595;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:13.020;4.7;100;0.91;15;4.10;12.30;0.8;0.1;65;0.1;232.30;0.13;0.23;1103;3608;2;20.2;0.9;47.767846;-3.506396;18.7;0.0;-5;15;-1024;6;595;-446;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:14.040;4.7;100;0.96;15;4.10;12.30;0.8;0.2;66;0.0;233.50;0.04;0.18;1103;3608;4;18.0;0.4;47.767845;-3.506413;17.5;0.0;-5;17;-1024;6;595;-446;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:15.070;4.7;100;0.99;15;4.09;12.29;0.8;0.2;66;0.0;246.20;0.07;0.22;1103;3609;5;16.3;0.4;47.767846;-3.506436;18.1;0.0;-5;17;-1024;6;595;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:16.110;4.7;100;0.96;15;4.09;12.29;0.9;0.2;66;0.0;246.90;0.08;0.19;1103;3609;6;15.7;0.1;47.767848;-3.506453;20.5;0.0;-5;17;-1024;6;598;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:17.110;4.7;100;0.76;15;4.09;12.29;0.9;0.1;66;0.0;266.90;0.15;-0.12;1103;3408;7;15.8;0.6;47.767851;-3.506448;18.8;0.0;-5;17;-1024;6;598;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:18.110;4.7;100;0.53;15;4.09;12.29;0.8;0.7;67;3.3;240.30;0.03;0.11;1745;3609;8;16.6;28.2;47.767841;-3.506448;28.1;0.0;-4;17;-1024;6;598;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:41:19.110;4.7;98;0.50;15;4.09;12.29;0.8;1.5;67;-1.0;228.80;0.02;0.02;1774;3408;10;16.5;24.0;47.767776;-3.506448;33.7;0.0;-5;15;-1024;6;595;-446;-1;0;1;-1;0x0000000000000002;7.7
28/01/2021;17:41:20.110;4.7;98;1.13;15;4.09;12.29;0.8;0.0;67;-4.0;209.70;0.04;-0.01;1794;3408;15;13.7;18.5;47.767710;-3.506453;44.2;0.0;-4;17;-1024;7;598;-448;-1;0;1;-1;0x0000000000000002;7.7
28/01/2021;17:41:21.110;4.7;96;1.13;15;4.09;12.29;0.8;0.0;67;-4.0;209.70;0.04;-0.01;1794;3408;15;13.7;18.5;47.767710;-3.506453;44.2;0.0;-5;15;-1024;6;595;-448;-1;0;1;-1;0x0000000000000002;7.7
28/01/2021;17:41:22.110;4.7;96;1.13;15;4.09;12.29;0.8;0.0;67;-4.0;209.70;0.04;-0.01;1794;3408;15;13.7;18.5;47.767710;-3.506453;44.2;0.0;-5;17;-1024;6;595;-448;-1;0;1;-1;0x0000000000000002;7.7
28/01/2021;17:41:23.110;4.7;96;1.13;15;4.09;12.29;0.8;0.0;67;-4.0;209.70;0.04;-0.01;1794;3408;15;13.7;18.5;47.767710;-3.506453;44.2;0.0;-4;17;-1024;6;595;-446;-1;0;1;-1;0x0000000000000002;7.7
28/01/2021;17:47:13.340;4.7;100;0.91;11;4.08;12.26;0.9;0.0;14;0.1;66.30;0.01;-0.09;1116;3710;0;18.2;0.5;47.767865;-3.506371;15.1;0.0;-5;17;-1024;6;957;-446;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:47:14.380;4.6;100;1.03;15;4.08;12.25;0.9;0.0;14;0.0;64.30;0.02;-0.03;1116;3710;0;18.5;0.5;47.767871;-3.506370;15.0;0.0;-5;17;-821;7;957;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:47:15.440;4.7;100;0.99;15;4.08;12.25;0.9;0.1;14;0.0;66.20;-0.03;0.05;895;3710;0;19.1;2.8;47.767878;-3.506365;17.5;0.0;-4;17;-821;7;957;-448;-1;0;1;-1;0x0000000000001C02;7.7
28/01/2021;17:47:16.460;4.7;100;1.01;15;4.08;12.25;0.9;0.1;14;0.0;65.60;0.14;0.01;895;3710;2;19.6;0.5;47.767883;-3.506365;14.0;0.0;-5;15;-821;7;957;-446;-1;0;1;-1;0x0000000000001C02;7.7
