Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);ASpd(kmh);Alt(m);Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
03/01/2021;16:01:59.750;4.6;100;0.97;11;4.10;12.30;0.8;0.1;96;0.0;34.20;0.01;0.20;1531;3814;0;166.7;0.5;48.147776;-3.630403;20.0;0.0;-5;20;-1024;7;-368;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:00.760;4.6;100;0.96;15;4.10;12.30;0.8;0.1;97;0.0;36.50;-0.15;0.22;1531;3814;0;166.5;0.2;48.147776;-3.630406;17.9;0.0;-5;20;-1024;7;-368;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:01.800;4.6;100;0.93;15;4.10;12.30;0.8;0.1;97;0.0;33.90;-0.10;0.14;1531;3814;0;166.3;0.0;48.147773;-3.630408;8.1;0.0;-5;20;-1024;7;-368;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:02.840;4.6;100;0.97;15;4.10;12.30;0.8;0.0;97;0.0;56.60;-0.04;0.19;1531;3814;0;166.3;0.7;48.147775;-3.630410;12.2;0.0;-5;20;-1024;7;-368;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:03.840;4.6;100;0.99;15;4.09;12.30;0.8;0.0;97;0.0;58.40;-0.16;0.21;1531;3813;0;165.4;0.3;48.147778;-3.630416;12.2;0.0;-4;20;-227;7;-474;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:04.840;4.6;100;0.91;15;4.10;12.30;0.8;0.1;98;0.1;95.20;0.03;0.19;1531;3813;1;162.2;0.4;48.147780;-3.630421;10.0;0.0;-4;20;-227;7;-471;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:05.840;4.6;100;0.99;15;4.10;12.30;0.8;0.1;98;-0.1;115.70;0.01;0.23;1531;3813;1;158.9;0.2;48.147785;-3.630431;13.3;0.0;-4;20;-227;7;-471;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:06.840;4.6;100;1.46;15;4.10;12.30;1.1;0.2;98;3.3;259.80;0.09;0.07;2657;3813;2;159.7;4.1;48.147768;-3.630470;16.6;0.0;-4;20;-227;7;-474;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:07.840;4.6;100;1.40;15;3.78;11.33;18.4;2.4;101;1.3;268.20;0.78;-0.03;2584;3814;13;163.5;31.2;48.147753;-3.630570;31.6;0.0;-4;20;-227;7;-474;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:08.840;4.6;98;1.07;15;3.75;11.27;18.3;6.1;106;5.9;272.50;0.65;-0.02;2733;3713;24;167.8;41.8;48.147743;-3.630730;47.9;0.0;-4;20;-229;7;-471;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:09.840;4.6;88;0.76;15;3.74;11.24;18.1;16.0;113;7.3;277.70;0.57;-0.05;2798;3713;35;172.9;41.1;48.147766;-3.630915;43.5;0.0;-4;20;-229;7;-471;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:10.840;4.6;82;0.60;15;3.74;11.22;18.0;22.3;118;6.7;281.80;0.56;-0.06;2823;3713;46;179.7;43.6;48.147793;-3.631068;43.7;0.0;-4;20;-229;7;-474;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:11.840;4.6;86;0.79;15;3.73;11.21;17.9;28.4;122;7.0;286.70;0.55;-0.05;2870;3713;57;185.2;46.1;48.147823;-3.631195;41.6;0.0;-4;20;-232;7;-474;125;0;0;1;-1;0x0000000000000002;7.9
03/01/2021;16:02:12.840;4.7;84;-1.35;15;3.91;11.16;17.8;34.7;126;6.8;289.90;0.11;-0.01;2893;3713;73;195.0;47.6;48.147863;-3.631361;48.1;0.0;-4;-43;-431;89;-474;125;0;0;1;-1;0x0000000000000002;7.9
