Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);0450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS;ASpd(kmh);Alt(m).1;Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V);GPS(lat);GPS(lon)
2021-01-28;20:40:25.360;4.7;72;-1.01;52;3.67;11.02;0.7;0.0;1;0.0;292.3;-0.04;0.05;0;406;0;48.0;2.1;47.767720 -3.506461;34.0;0.0;-2;14;-1024;6;-112;125;-1;0;1;-1;0x0000000000001C02;7.7;47.767720;-3.506461
2021-01-28;21:55:22.700;4.7;100;0.97;1;4.11;12.33;0.6;0.0;13;0.0;104.8;0.18;0.21;2631;3609;0;42.9;0.5;47.761633 -3.495930;7.4;0.0;-7;23;-1024;6;-5;112;-1;-1;1;-1;0x0000000000001C02;7.9;47.761633;-3.495930
2021-01-28;21:55:23.690;4.7;100;0.95;15;4.1;12.32;0.8;0.0;13;0.0;113.1;0.24;0.09;2631;3609;0;42.8;0.3;47.761631 -3.495936;6.2;0.0;35;25;-759;6;-5;112;-1;-1;1;-1;0x0000000000001C02;7.9;47.761631;-3.495936
2021-01-28;21:55:24.690;4.7;100;0.96;15;4.1;12.31;1.0;0.0;13;0.0;111.7;0.17;0.05;2631;3710;0;42.4;0.1;47.761631 -3.495935;6.2;0.0;-5;25;-175;6;-5;112;-1;-1;1;-1;0x0000000000001C02;7.9;47.761631;-3.495935
2021-01-28;21:55:25.700;4.7;100;0.97;15;4.1;12.31;1.0;0.0;14;-0.1;114.4;0.22;0.12;2631;3710;0;42.4;0.3;47.761631 -3.495933;6.6;0.0;-5;23;-176;6;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761631;-3.495933
2021-01-28;21:55:26.700;4.7;100;0.93;15;4.1;12.31;0.9;0.0;14;0.0;117.7;0.27;0.16;2631;3710;0;42.0;0.5;47.761630 -3.495928;1.8;0.0;-5;23;-176;7;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761630;-3.495928
2021-01-28;21:55:27.710;4.7;100;0.97;15;4.1;12.31;0.9;0.0;14;0.0;111.4;0.23;0.09;2631;3710;0;41.9;0.3;47.761631 -3.495926;4.8;0.0;-5;23;-176;6;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761631;-3.495926
2021-01-28;21:55:28.720;4.7;100;0.96;15;4.1;12.31;0.9;0.0;15;0.0;110.1;0.22;0.06;2631;3710;0;41.9;0.2;47.761631 -3.495925;5.5;0.0;-5;23;-176;6;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761631;-3.495925
2021-01-28;21:55:29.730;4.7;100;0.96;15;4.1;12.3;0.9;0.0;15;0.0;109.0;0.25;0.06;2631;3710;0;41.8;0.1;47.761633 -3.495923;6.4;0.0;-5;23;-176;6;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761633;-3.495923
2021-01-28;21:55:30.730;4.7;100;0.97;15;4.1;12.3;0.9;0.0;15;0.0;120.7;0.19;0.1;2631;3710;0;41.4;0.2;47.761633 -3.495921;6.2;0.0;-5;23;-176;7;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761633;-3.495921
2021-01-28;21:55:31.730;4.7;100;1.1;15;4.1;12.3;0.9;0.0;15;0.0;142.0;0.3;0.39;2798;3710;0;41.0;2.9;47.761635 -3.495930;7.2;0.0;-5;23;-176;6;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761635;-3.495930
2021-01-28;21:55:32.730;4.7;100;0.97;15;4.1;12.3;0.9;0.0;16;0.0;151.0;0.34;0.2;2949;3710;0;40.5;0.7;47.761636 -3.495941;7.7;0.0;-5;25;-70;6;-5;1024;-1;0;1;-1;0x0000000000001C02;7.9;47.761636;-3.495941
2021-01-28;21:55:33.730;4.7;100;0.66;15;3.78;12.18;2.7;0.7;16;2.0;278.1;0.92;0.11;2795;3710;2;40.6;25.4;47.761640 -3.495948;2.2;0.0;-5;25;-70;6;-5;1024;-1;0;1;-1;0x0000000000000002;7.9;47.761640;-3.495948
