Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);ASpd(kmh);Alt(m);Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
03/01/2021;15:41:40.690;4.7;100;0.98;2;4.10;12.32;0.9;0.0;29;0.0;359.00;-0.15;-0.07;0;1005;0;28.0;0.3;47.767913;-3.506315;57.7;0.0;-5;19;-1024;7;-230;42;-1;-1;1;-1;0x0000000000000002;8.0
03/01/2021;15:41:41.710;4.7;100;0.98;2;4.10;12.32;0.9;0.0;30;0.0;359.00;-0.15;-0.07;0;1005;0;26.7;0.3;47.767910;-3.506321;58.1;0.0;-5;19;-1024;6;-230;42;-1;-1;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:11.070;4.7;100;0.96;1;4.09;12.27;0.8;0.0;52;0.0;265.40;-0.02;0.04;1799;3208;0;22.0;0.2;47.767786;-3.506466;57.9;0.0;-5;19;-1024;6;-247;42;-1;-1;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:12.100;4.7;100;0.99;15;4.08;12.26;0.9;0.0;52;0.0;265.80;-0.02;0.05;1799;3208;0;22.2;0.2;47.767786;-3.506466;57.0;0.0;-4;19;-149;6;-250;42;-1;-1;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:13.140;4.7;100;0.98;15;4.09;12.27;0.8;0.0;52;0.0;266.80;-0.06;0.06;1799;3208;0;22.6;0.1;47.767788;-3.506466;57.7;0.0;-5;19;-149;6;-250;-5;-1;-1;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:14.180;4.7;100;0.98;15;4.09;12.27;0.8;0.0;52;0.0;272.20;-0.01;0.02;1799;3208;0;22.7;0.2;47.767788;-3.506463;57.2;0.0;-4;19;-149;6;-250;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:15.180;4.7;100;0.96;15;4.08;12.26;0.8;0.0;53;0.1;312.70;0.07;0.19;1799;3208;0;22.6;0.4;47.767788;-3.506461;56.6;0.0;-5;19;-149;6;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:16.180;4.7;100;1.02;15;4.09;12.26;0.9;0.1;53;0.0;349.40;0.07;0.15;1799;3208;0;20.2;0.3;47.767795;-3.506458;56.8;0.0;-5;19;-149;6;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:17.180;4.7;100;1.01;15;4.08;12.26;0.9;0.0;53;0.0;358.90;0.11;0.17;1799;3208;1;18.1;0.7;47.767805;-3.506463;57.7;0.0;-5;19;-149;6;-247;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:18.180;4.7;100;-0.18;15;4.05;11.87;11.6;1.0;54;2.5;4.00;4.61;0.34;1873;3208;1;18.4;27.9;47.767783;-3.506478;59.2;0.0;-5;19;-149;6;-247;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:19.180;4.7;100;0.96;15;3.62;10.85;17.9;2.8;58;2.9;187.40;0.65;-0.14;1923;3208;6;24.3;39.3;47.767690;-3.506490;65.9;0.0;-4;19;-151;7;-247;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:20.190;4.7;94;0.87;15;3.58;10.74;17.6;7.3;63;5.7;207.20;0.58;-0.05;2066;3208;23;28.8;41.0;47.767605;-3.506520;69.6;0.0;-4;19;-151;6;-250;-2;-1;0;1;-1;0x0000000000000000;8.0
03/01/2021;15:43:21.210;4.7;88;0.77;15;3.54;10.67;17.4;12.7;67;5.8;207.70;0.57;-0.03;2085;3208;33;38.0;42.6;47.767510;-3.506585;65.7;0.0;-7;19;-157;6;-247;-5;-1;0;1;-1;0x0000000000000000;8.0
03/01/2021;15:43:22.210;4.7;88;0.80;15;3.56;10.79;12.0;20.3;73;5.6;209.40;0.54;-0.02;2094;3208;44;44.1;45.7;47.767390;-3.506693;65.3;0.0;-5;209;-337;-61;-247;-5;-1;0;1;-1;0x0000000000000000;8.0
03/01/2021;15:43:23.210;4.7;82;0.68;15;3.81;11.45;4.6;21.9;75;-0.3;206.40;0.09;-0.03;2064;3208;56;46.4;49.7;47.767286;-3.506763;67.7;0.0;-4;-167;-245;-218;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:24.210;4.7;84;1.03;15;3.82;11.47;5.4;21.7;76;0.3;206.00;0.11;-0.02;2096;3208;69;45.2;52.0;47.767200;-3.506861;66.8;0.0;-4;-505;-238;-278;-247;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:25.210;4.7;84;0.69;15;3.82;11.47;5.5;22.3;77;0.6;207.50;0.10;0.01;2102;3208;89;44.5;52.3;47.767086;-3.506941;67.2;0.0;-5;-615;-197;-432;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:26.210;4.7;72;1.24;15;3.82;11.48;5.4;24.4;79;2.2;207.70;0.08;-0.01;2094;3208;102;45.2;51.4;47.766993;-3.507041;69.0;0.0;-5;-609;-199;-628;-247;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:27.210;4.7;70;1.06;15;3.83;11.49;5.4;26.4;81;2.5;197.80;0.06;-0.05;2047;3208;115;46.8;49.4;47.766830;-3.507135;67.4;0.0;-11;-540;-205;-562;-250;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:28.210;4.7;70;0.63;15;3.82;11.48;5.5;28.2;82;1.4;193.10;0.11;-0.05;1954;3208;127;49.1;48.2;47.766711;-3.507186;67.0;0.0;-7;-560;-205;-510;-250;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:29.220;4.7;72;0.65;15;3.83;11.49;5.5;29.0;84;-0.3;189.40;0.11;-0.03;1882;3208;140;50.7;48.6;47.766616;-3.507221;64.6;0.0;-5;17;-202;6;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:30.220;4.7;72;1.17;15;3.83;11.49;5.5;28.3;85;-0.7;187.00;0.10;0.01;1876;3208;158;49.6;53.9;47.766491;-3.507246;67.4;0.0;-2;-495;-202;-492;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:31.220;4.7;74;0.97;15;3.83;11.50;5.4;28.8;87;0.7;180.60;0.08;0.00;1831;3208;171;50.3;53.0;47.766385;-3.507265;67.4;0.0;-18;-414;-211;-455;-250;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:32.220;4.7;74;0.95;15;3.84;11.52;5.1;29.6;89;1.3;170.20;0.06;-0.02;1742;3208;184;51.5;52.8;47.766195;-3.507256;69.4;0.0;-5;-566;-294;-630;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:33.220;4.7;72;0.98;15;3.84;11.52;5.2;30.8;90;1.6;168.10;0.08;-0.03;1663;3208;196;53.4;51.0;47.766066;-3.507221;68.3;0.0;-5;-569;-296;-674;-250;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:34.220;4.7;70;0.82;15;3.84;11.52;5.2;32.1;91;1.2;153.30;0.07;0.00;1559;3208;211;56.6;48.9;47.765971;-3.507173;68.5;0.0;-5;-561;-375;-652;-250;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:35.220;4.7;70;0.98;15;3.86;11.58;4.3;33.0;92;0.7;141.90;0.06;-0.03;1440;3208;216;57.3;46.9;47.765865;-3.507086;67.5;0.0;-5;-611;-375;-764;-250;-2;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:36.220;4.7;64;1.29;15;3.87;11.61;4.2;34.0;93;0.9;131.60;0.08;-0.03;1334;3208;226;59.1;42.7;47.765811;-3.506998;68.5;0.0;-5;-757;-379;-733;-250;-5;-1;0;1;-1;0x0000000000000002;8.0
03/01/2021;15:43:37.220;4.7;56;1.06;15;3.87;11.61;4.3;34.8;95;1.7;108.00;0.06;-0.01;1082;3208;230;60.7;39.5;47.765736;-3.506836;67.4;0.0;-5;-731;-379;-740;-247;-5;-1;0;1;-1;0x0000000000000002;8.0
