Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);0450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS;ASpd(kmh);Alt(m).1;Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V);GPS(lat);GPS(lon)
2021-01-28;20:23:57.960;4.7;100;0.97;1;4.11;12.34;0.9;0.0;60;0.0;177.6;0.16;0.09;1790;3609;0;14.3;0.2;47.767916 -3.506375;14.8;0.0;-5;15;-1024;6;-267;80;-1;-1;1;-1;0x0000000000001C02;7.8;47.767916;-3.506375
2021-01-28;20:23:58.970;4.7;100;0.97;15;4.11;12.34;0.9;0.0;60;0.0;178.6;0.16;0.11;1790;3609;0;15.1;0.0;47.767911 -3.506371;15.5;0.0;-5;15;-1024;6;-267;80;-1;-1;1;-1;0x0000000000001C02;7.8;47.767911;-3.506371
2021-01-28;20:23:59.970;4.7;100;0.98;15;4.11;12.34;0.9;0.1;61;0.0;175.5;0.16;0.09;1853;3609;0;14.9;0.8;47.767908 -3.506370;14.8;0.0;-5;15;-1024;6;-270;83;-1;-1;1;-1;0x0000000000001C02;7.8;47.767908;-3.506370
2021-01-28;20:24:01.030;4.7;100;0.96;15;4.11;12.34;0.9;0.1;61;0.0;171.6;0.2;0.09;1853;3609;1;14.2;0.7;47.767905 -3.506370;16.1;0.0;-5;17;-1024;6;-267;83;-1;-1;1;-1;0x0000000000001C02;7.8;47.767905;-3.506370
2021-01-28;20:24:02.060;4.7;100;0.93;15;4.11;12.33;0.9;0.1;61;0.0;174.9;0.35;0.03;1853;3609;1;13.8;0.7;47.767906 -3.506368;16.2;0.0;-4;15;-1024;7;-270;83;-1;-1;1;-1;0x0000000000001C02;7.8;47.767906;-3.506368
2021-01-28;20:24:03.070;4.7;100;0.97;15;4.11;12.34;0.9;0.1;62;0.0;181.0;0.29;0.08;1853;3608;1;13.7;0.1;47.767906 -3.506368;15.9;0.0;-5;17;-1024;6;-270;83;-1;-1;1;-1;0x0000000000001C02;7.8;47.767906;-3.506368
2021-01-28;20:24:04.090;4.7;100;0.98;15;4.11;12.34;0.9;0.1;62;0.0;178.9;0.28;0.11;1853;3710;1;14.4;0.2;47.767905 -3.506368;16.6;0.0;-5;15;-1024;6;-270;83;-1;-1;1;-1;0x0000000000001C02;7.8;47.767905;-3.506368
2021-01-28;20:24:05.090;4.7;100;0.95;15;4.11;12.33;0.9;0.2;62;0.0;169.8;0.2;0.03;1853;3710;1;14.7;0.2;47.767905 -3.506370;14.6;0.0;-5;15;-1024;6;-267;80;-1;-1;1;-1;0x0000000000001C02;7.7;47.767905;-3.506370
2021-01-28;20:24:06.090;4.7;100;0.95;15;4.11;12.33;0.9;0.3;62;0.0;169.7;0.27;0.07;1853;3710;1;15.0;0.7;47.767903 -3.506370;15.1;0.0;-5;17;-1024;6;-267;80;-1;-1;1;-1;0x0000000000001C02;7.7;47.767903;-3.506370
2021-01-28;20:24:07.090;4.7;100;0.95;15;4.11;12.34;0.9;0.4;63;0.0;166.7;0.23;0.06;971;3710;1;15.1;0.3;47.767903 -3.506370;14.0;0.0;-5;15;-1024;6;-267;80;-1;-1;1;-1;0x0000000000001C02;7.7;47.767903;-3.506370
