Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);0450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS;ASpd(kmh);Alt(m).1;Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V);GPS(lat);GPS(lon)
2021-01-28;21:55:34.730;4.7;100;0.85;15;3.89;11.69;9.6;1.2;22;-1.5;302.4;0.49;0.05;2770;3710;10;39.8;43.4;47.761646 -3.496060;40.7;0.0;-898;-508;110;-443;-5;1024;-1;0;1;-1;0x0000000000000002;7.9;47.761646;-3.496060
2021-01-28;23:16:49.770;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;;0.0;0.0;-4;17;-1024;9;132;50;-1;-1;1;-1;0x0000000000000000;7.9;;
2021-01-28;23:24:41.600;5.0;100;1.0;11;4.03;12.11;0.9;0.0;48;0.0;35.5;-0.01;0.1;854;3713;0;21.3;0.1;47.767886 -3.506445;10.1;0.0;-5;17;-1024;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506445
2021-01-28;23:24:42.600;5.0;100;1.0;15;4.03;12.11;0.9;0.0;49;0.0;38.7;0.02;0.07;854;3714;0;21.5;0.0;47.767886 -3.506443;10.0;0.0;-5;19;-1024;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506443
2021-01-28;23:24:43.600;5.0;100;1.0;15;4.03;12.11;0.9;0.0;49;0.0;35.9;0.01;0.03;854;3714;0;21.9;0.2;47.767886 -3.506443;9.6;0.0;-5;19;-1024;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506443
2021-01-28;23:24:44.610;5.0;100;1.0;15;4.03;12.11;0.9;0.0;49;0.0;36.6;0.03;0.05;854;3714;0;21.8;0.3;47.767886 -3.506443;10.0;0.0;-5;19;-1024;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506443
2021-01-28;23:24:45.650;5.0;100;0.97;15;4.03;12.11;0.9;0.0;50;0.0;36.2;0.03;0.05;854;3714;0;21.7;0.4;47.767886 -3.506443;10.0;0.0;-5;19;-1024;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506443
2021-01-28;23:24:46.700;5.0;100;0.98;15;4.03;12.1;0.9;0.0;50;0.0;46.2;-0.03;0.09;854;3714;0;21.8;0.2;47.767886 -3.506441;8.8;0.0;-4;19;-312;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506441
2021-01-28;23:24:47.750;5.0;100;1.0;15;4.03;12.1;0.9;0.0;50;0.0;49.0;-0.01;0.0;854;3714;0;22.0;0.4;47.767886 -3.506441;8.8;0.0;-4;17;-17;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506441
2021-01-28;23:24:48.780;5.0;100;0.98;15;4.03;12.1;0.9;0.0;50;0.0;45.1;-0.05;-0.04;854;3714;0;22.2;0.1;47.767886 -3.506441;11.2;0.0;-4;19;-17;7;132;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767886;-3.506441
