Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
31/08/2020;17:32:06.370;4.7;100;0.97;1;4.15;12.47;0.6;0.1;25;0.0;229.10;-0.02;-0.04;3337;3711;0;42.2;0.1;47.780773;-3.526790;7;-1024;3;-178;-1024;-1;-1;1;-1;0x0000000000000002;7.7
31/08/2020;17:32:07.360;4.7;98;0.97;15;4.15;12.46;0.6;0.1;25;0.0;232.40;0.08;-0.02;3337;3711;0;42.2;0.0;47.780773;-3.526791;7;-1022;3;-178;-1024;-1;-1;1;-1;0x0000000000000002;7.7
31/08/2020;17:32:08.360;4.7;100;0.94;15;4.15;12.47;0.6;0.1;25;0.0;232.40;0.10;0.07;3337;3711;0;42.2;0.1;47.780773;-3.526790;7;-240;3;-178;-1024;-1;-1;1;-1;0x0000000000000002;7.7
31/08/2020;17:32:09.360;4.7;100;0.92;15;4.15;12.46;0.6;0.2;26;0.1;241.50;0.31;0.06;3337;3711;0;42.2;0.1;47.780773;-3.526790;7;-42;3;-178;-1024;-1;-1;1;-1;0x0000000000000002;7.7
31/08/2020;17:32:10.360;4.7;100;1.02;15;4.15;12.46;0.6;0.3;26;0.0;243.20;0.23;-0.05;3337;3711;0;42.3;0.9;47.780771;-3.526790;7;0;3;-178;-1024;-1;-1;1;-1;0x0000000000000002;7.7
31/08/2020;17:32:11.360;4.7;100;0.93;15;4.15;12.46;0.6;0.3;26;0.0;246.70;0.38;0.01;3337;3711;0;42.3;0.1;47.780771;-3.526791;9;-3;4;-181;-1024;-1;-1;1;-1;0x0000000000000002;7.6
31/08/2020;17:32:12.360;4.7;100;0.89;15;4.15;12.46;0.6;0.3;26;0.0;251.80;0.37;-0.04;3337;3711;0;42.4;0.3;47.780771;-3.526790;7;-3;3;-178;-1024;-1;-1;1;-1;0x0000000000000002;7.6
31/08/2020;17:32:13.360;4.7;100;0.89;15;4.15;12.46;0.6;0.4;26;0.0;251.60;0.38;-0.07;3337;3711;0;42.5;0.1;47.780771;-3.526790;7;-3;3;-181;-1024;-1;0;1;-1;0x0000000000000002;7.6
31/08/2020;17:32:14.400;4.7;100;0.87;15;4.15;12.46;0.6;0.4;26;0.0;252.00;0.42;-0.03;3337;3711;0;42.6;0.1;47.780771;-3.526790;7;-3;3;-178;-1024;-1;0;1;-1;0x0000000000000002;7.6
31/08/2020;17:32:15.400;4.7;100;0.88;15;4.15;12.46;0.6;0.4;27;0.0;250.90;0.39;-0.09;3337;3711;0;42.6;0.1;47.780773;-3.526790;7;-3;4;-178;-1024;-1;0;1;-1;0x0000000000000002;7.6
