Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);0450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS;ASpd(kmh);Alt(m).1;Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V);GPS(lat);GPS(lon)
2021-01-29;00:17:51.170;5.0;100;0.98;11;4.12;12.36;0.8;0.0;40;0.0;334.1;0.0;-0.01;2454;3713;0;23.4;0.0;47.767880 -3.506425;7.4;0.0;-4;17;-1024;9;-704;-526;-1;0;1;-1;0x0000000000001C02;7.7;47.767880;-3.506425
2021-01-29;00:17:52.180;5.0;100;0.94;15;4.12;12.36;0.8;0.0;40;-0.1;346.6;-0.02;0.03;2454;3713;0;23.5;0.1;47.767876 -3.506425;6.6;0.0;-4;17;-1024;9;-704;-526;-1;0;1;-1;0x0000000000001C02;7.7;47.767876;-3.506425
2021-01-29;00:17:53.180;5.0;100;0.91;15;4.12;12.36;0.8;0.0;40;0.0;359.8;0.01;0.0;2454;3712;0;23.5;0.5;47.767875 -3.506425;9.2;0.0;-4;17;-300;7;-704;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767875;-3.506425
2021-01-29;00:17:54.180;5.0;100;1.01;15;4.12;12.36;0.8;0.0;40;0.0;1.7;-0.02;-0.05;2454;3713;0;23.6;0.0;47.767873 -3.506423;7.9;0.0;-10;17;-202;7;-704;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767873;-3.506423
2021-01-29;00:17:55.210;5.0;100;0.92;15;4.12;12.36;0.8;0.0;41;0.0;2.0;-0.09;-0.06;2454;3712;1;23.6;0.2;47.767871 -3.506423;6.1;0.0;-2;17;197;7;-704;-526;-1;0;1;-1;0x0000000000001C02;7.7;47.767871;-3.506423
2021-01-29;00:17:56.210;5.0;100;0.99;15;4.12;12.36;0.8;0.0;41;0.0;16.3;0.21;0.17;2454;3713;1;23.6;0.7;47.767871 -3.506425;8.8;0.0;-4;17;195;7;-704;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767871;-3.506425
2021-01-29;00:17:57.250;5.0;100;0.96;15;4.12;12.36;0.9;0.0;41;0.0;24.7;0.34;-0.19;1315;3713;1;23.5;0.4;47.767871 -3.506421;9.6;0.0;-2;17;194;7;-701;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767871;-3.506421
2021-01-29;00:17:58.250;5.0;100;1.37;15;3.89;11.68;19.2;0.0;44;0.3;61.3;1.41;0.11;229;3713;1;23.4;1.2;47.767870 -3.506418;10.7;0.0;-4;17;194;7;-704;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767870;-3.506418
2021-01-29;00:17:59.250;5.0;100;1.37;15;3.89;11.68;19.2;0.0;44;0.3;61.3;1.41;0.11;229;3713;1;23.4;1.2;47.767870 -3.506418;10.7;0.0;-2;17;194;7;-704;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767870;-3.506418
2021-01-29;00:18:00.250;5.0;100;1.37;15;3.89;11.68;19.2;0.0;44;0.3;61.3;1.41;0.11;229;3713;1;23.4;1.2;47.767870 -3.506418;10.7;0.0;-2;17;194;7;-704;-526;-1;0;1;-1;0x0000000000001C02;7.7;47.767870;-3.506418
2021-01-29;00:18:01.250;5.0;100;1.37;15;3.89;11.68;19.2;0.0;44;0.3;61.3;1.41;0.11;229;3713;1;23.4;1.2;47.767870 -3.506418;10.7;0.0;-2;17;194;9;-704;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767870;-3.506418
2021-01-29;00:18:02.250;5.0;100;1.37;15;3.89;11.68;19.2;0.0;44;0.3;61.3;1.41;0.11;229;3713;1;23.4;1.2;47.767870 -3.506418;10.7;0.0;-2;17;194;7;-704;-529;-1;0;1;-1;0x0000000000001C02;7.7;47.767870;-3.506418
2021-01-29;00:18:03.250;5.0;100;1.37;15;3.89;11.68;19.2;0.0;44;0.3;61.3;1.41;0.11;229;3713;1;23.4;1.2;47.767870 -3.506418;10.7;0.0;-2;17;194;9;-704;-529;-1;1;1;-1;0x0000000000001C02;7.7;47.767870;-3.506418
2021-01-29;00:18:04.250;5.0;100;1.37;15;3.89;11.68;19.2;0.0;44;0.3;61.3;1.41;0.11;229;3713;1;23.4;1.2;47.767870 -3.506418;10.7;0.0;7;17;-1024;7;-704;-529;-1;1;1;-1;0x0000000000000000;7.7;47.767870;-3.506418
2021-01-29;00:20:29.810;5.0;100;0.99;2;4.11;12.33;0.6;0.0;9;0.0;359.1;-0.02;-0.03;0;0;0;-17.0;0.0;;5.1;0.0;-5;17;-1024;7;-25;-499;-1;-1;1;-1;0x0000000000001C02;7.7;;
2021-01-29;00:20:30.800;5.0;100;1.0;2;4.11;12.33;0.6;0.0;9;0.0;359.0;-0.02;-0.03;0;0;0;-17.0;0.0;;3.8;0.0;-4;17;-1024;9;-25;-499;-1;-1;1;-1;0x0000000000001C02;7.7;;
